Object,Type,Source
1,SB0,NGC 4267
2,SBc,NGC 4294
3,Sa,NGC 4313
4,Sc,NGC 4330
5,Sc,NGC 4316
6,Sb,NGC 4307
7,Sc,NGC 4356
8,SBa,NGC 4351
9,E0,M 84
10,Sc,IC 3311
11,SB0,NGC 4371
12,Sa,NGC 4380
13,Sa,NGC 4388
14,Sb,NGC 4402
15,E3,NGC 4387
16,E3,M 86
17,SBa,NGC 4413
18,SB0,NGC 4417
19,SBa,NGC 4424
20,SBc,NGC 4411
21,SB0,NGC 4479
22,Sa,NGC 4445
23,SB0,NGC 4442
24,S0,NGC 4429
25,SB0,NGC 4435
26,Sb,NGC 4438
27,SB0,NGC 4425
28,SBa,NGC 4440
29,S0,NGC 4452
30,E0,NGC 4458
31,SB0,NGC 4461
32,S0,NGC 4459
33,S0,NGC 4474
34,SB0,NGC 4477
35,E7,NGC 4473
36,S0,NGC 4476
37,E3,NGC 4478
38,E0,M87
39,SBa,NGC 4491
40,E7,NGC 4482
41,SB0,NGC 4469
42,SB0,NGC 4488
43,SB0,NGC 4483
44,Irr,IC 3476
45,Sa,NGC 4506
46,SB0,NGC 4497
47,SB0,NGC 4503
48,SB0,NGC 4531
50,SBc,NGC 4522
51,SBc,NGC 4519
52,SBc,NGC 4535
53,Sc,NGC 4571
54,Irr,IC 3583
55,Sa,M 90
56,E0,M 89
57,S0,NGC 4550
58,E7,NGC 4564
59,SBb,M 58
60,S0,NGC 4578
61,SB0,NGC 4596
62,SB0,NGC 4608
63,SBa,NGC 4606
64,Sb,NGC 4607
65,E7,M 59
66,SBb,NGC 4639
67,SBc,NGC 4654
68,Sc,NGC 4647
69,E0,M 60
70,SBc,NGC 4390
71,S0,NGC 4352
72,Sa,NGC 4305
73,SB0,NGC 4306
74,S0,IC 810
76,E3,IC 3468
77,Irr,KPG 347
78,SBc,UGC 7546
